Reviewer,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
r83,0,0,4,0,0,0,0,5,2,4,0,0,0,0,0
r84,3,1,1,1,2,3,0,0,2,0,3,5,2,0,0
r85,1,0,0,5,0,0,0,0,0,0,0,0,5,0,0
r86,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
r87,5,5,3,4,1,2,2,0,4,0,4,5,1,2,1
r88,5,4,5,3,2,1,2,2,4,0,5,5,1,1,1
r89,5,3,4,4,1,2,2,3,0,3,3,5,1,1,0
r90,4,3,1,0,2,5,5,1,0,0,1,3,3,5,0
r91,2,5,0,4,0,0,2,4,4,0,5,2,4,0,0
r92,0,0,0,2,2,5,5,0,0,0,0,0,4,0,0
r93,5,1,1,0,3,0,0,0,1,0,0,0,3,1,0
r94,0,0,0,4,2,0,0,0,4,0,3,0,0,1,0
r95,0,0,1,1,2,2,0,0,0,0,0,5,0,0,0
r96,0,0,0,0,0,0,0,1,0,5,0,0,0,0,4
r97,0,0,0,0,4,3,0,4,0,0,0,4,3,0,0
r98,1,3,4,0,0,4,5,5,2,4,1,1,0,3,4
r99,1,2,4,4,5,0,0,5,3,4,1,0,0,3,0
r100,0,1,0,0,0,3,5,0,3,4,1,0,0,0,0
